			Blood vs Lymphoid				Blood vs Gut-associated				Blood vs Non-lymphoid				Lymphoid vs Gut-associated				Lymphoid vs Non-lymphoid				Gut-associated vs Non-lymphoid			
KEGG ID	Description	set.size	stat.mean	p.val	q.val	Significant	stat.mean	p.val	q.val	Significant	stat.mean	p.val	q.val	Significant	stat.mean	p.val	q.val	Significant	stat.mean	p.val	q.val	Significant	stat.mean	p.val	q.val	Significant
mmu00590	Arachidonic acid metabolism	75	2.52184026795125	0.00638578203581355	0.0984754808680721	TRUE	1.19765381879471	0.116506681039018	0.412686315969533	FALSE	-0.119954724987749	0.547655608140172	0.954153030471674	FALSE	0.214861779772625	0.415090562936066	0.833024211919639	FALSE	0.845956228727729	0.199477877587158	0.531336528482158	FALSE	-0.579533535273622	0.718345311088134	0.999995812659327	FALSE
mmu04060	Cytokine-cytokine receptor interaction	240	6.17775496259529	9.94807335797838e-10	9.71595164629222e-08	TRUE	8.3669407618558	7.71443346249527e-16	2.26804343797361e-13	TRUE	7.7944623140292	4.09045414362093e-14	5.99251532040466e-12	TRUE	7.10006737383542	3.46117865891695e-12	5.07062673531334e-10	TRUE	7.77814937888507	3.78968311049643e-14	1.08411718399386e-11	TRUE	5.59450265272322	2.18766376676242e-08	1.28197096732278e-06	TRUE
mmu04080	Neuroactive ligand-receptor interaction	259	6.57714653682825	7.38607691770241e-11	2.16412053688681e-08	TRUE	7.50968504656131	2.22959929368512e-13	3.27751096171713e-11	TRUE	7.96933256053419	8.03406824624698e-15	2.35398199615037e-12	TRUE	6.12649419479284	1.15488001558462e-09	1.12793281522098e-07	TRUE	7.6546070380595	7.4001172968864e-14	1.08411718399386e-11	TRUE	6.86496781462956	1.5154486022856e-11	2.2201322023484e-09	TRUE
mmu04512	ECM-receptor interaction	82	6.67934484774748	2.44714539072204e-10	3.58506799740779e-08	TRUE	7.61869991895385	1.76009153351223e-12	1.72488970284198e-10	TRUE	5.63197254153165	5.88925625577355e-08	5.75184027647217e-06	TRUE	5.76497662840832	3.06173851273207e-08	1.79417876846099e-06	TRUE	7.11636692747106	2.49018971486201e-11	2.4320852881819e-09	TRUE	4.45460314574455	9.2441358506245e-06	0.000338566475529122	TRUE
mmu04514	Cell adhesion molecules (CAMs)	153	3.36550362237915	0.000433868528274825	0.0115566798895022	TRUE	5.60209692900993	2.59237420116074e-08	1.52431603028251e-06	TRUE	4.0712888477517	3.04945076723033e-05	0.00148914845799748	TRUE	5.0742467467947	3.61704808016351e-07	1.76632514581318e-05	TRUE	3.93793478714838	5.24357758547396e-05	0.00185108696855103	TRUE	5.02878079199332	5.17311588739279e-07	2.16531850715155e-05	TRUE
mmu04640	Hematopoietic cell lineage	90	3.93058455898196	6.84926127687099e-05	0.00286900494462526	TRUE	4.11277977900682	3.20913700142137e-05	0.00104831808713098	TRUE	3.15896712214243	0.00094356285003898	0.0212664550047247	TRUE	4.59714420104389	4.81113451283996e-06	0.000176207801532764	TRUE	4.65662036802425	3.67512950298689e-06	0.000179468824062526	TRUE	4.19372543067591	2.62784603348977e-05	0.000855509875347225	TRUE
mmu04925	Aldosterone synthesis and secretion	90	2.57073709020741	0.0055777966508163	0.0907941343716208	TRUE	1.85598812177265	0.0327269825101785	0.185859084866301	FALSE	2.54294131134804	0.00609167054088616	0.0713943787391858	TRUE	0.997422395802363	0.160003237239419	0.541294113980985	FALSE	1.3007442456362	0.0975177792711645	0.340151301505371	FALSE	0.551218053929985	0.291087773384075	0.879265129912722	FALSE
mmu04970	Salivary secretion	75	2.88707538348198	0.00225103777467411	0.0412221292487196	TRUE	1.83531757897389	0.0343167480702558	0.186835628382504	FALSE	1.41610678223637	0.0794229238242114	0.322041971475598	FALSE	1.13325488801767	0.129551544417781	0.491237121410461	FALSE	1.92870793921502	0.0281456137706376	0.18325921855104	FALSE	2.06067996682182	0.021059609679843	0.156629136911809	FALSE
mmu04974	Protein digestion and absorption	90	3.74388577694011	0.000123007838361248	0.00400458851553841	TRUE	4.83761461729368	1.42230633891131e-06	6.96930106066544e-05	TRUE	3.65693987429681	0.000179727215806595	0.00526600742313324	TRUE	4.70765083212974	2.56199532929612e-06	0.00010723780449768	TRUE	3.04319356436191	0.00143277330978473	0.0190819354439512	TRUE	6.12800610431206	4.53297048713426e-09	3.32040088182584e-07	TRUE
