mgi_symbol	mgi_description	ensembl_gene_id
Gnai3; Galphai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	ENSMUSG00000000001
Pbsn; PB	probasin	ENSMUSG00000000003
Cdc45; Cdc45l	cell division cycle 45	ENSMUSG00000000028
H19	H19, imprinted maternally expressed transcript	ENSMUSG00000000031
Scml2; 4932420G07Rik	Scm polycomb group protein like 2	ENSMUSG00000000037
Apoh; B2GPI; beta-2-glycoprotein 1; beta-2-GPI	apolipoprotein H	ENSMUSG00000000049
Narf; 4430402O11Rik	nuclear prelamin A recognition factor	ENSMUSG00000000056
Cav2	caveolin 2	ENSMUSG00000000058
Klf6; BCD1; Copeb; CPBP; FM2; FM6; Ierepo1; Ierepo3; Zf9	Kruppel-like factor 6	ENSMUSG00000000078
Scmh1; Scml3	sex comb on midleg homolog 1	ENSMUSG00000000085
Cox5a; CcOX	cytochrome c oxidase subunit 5A	ENSMUSG00000000088
Tbx2	T-box 2	ENSMUSG00000000093
Tbx4	T-box 4	ENSMUSG00000000094
Zfy2; Zfy-2	zinc finger protein 2, Y-linked	ENSMUSG00000000103
Ngfr; LNGFR; p75; p75 neurotrophin receptor; p75NGFR; p75NTR; Tnfrsf16	nerve growth factor receptor (TNFR superfamily, member 16)	ENSMUSG00000000120
Wnt3; Int-4; Wnt-3	wingless-type MMTV integration site family, member 3	ENSMUSG00000000125
Wnt9a; Wnt14	wingless-type MMTV integration site family, member 9A	ENSMUSG00000000126
Fer; C330004K01Rik; Fert; Fert2	fer (fms/fps related) protein kinase	ENSMUSG00000000127
Xpo6; 2610005L19Rik; C230091E20Rik; Ranbp20	exportin 6	ENSMUSG00000000131
Tfe3; bHLHe33; F830016E06Rik; Tcfe3; Tfe-3	transcription factor E3	ENSMUSG00000000134
Axin2; Axil; Conductin	axin 2	ENSMUSG00000000142
Brat1; Baat1	BRCA1-associated ATM activator 1	ENSMUSG00000000148
Gna12; Galpha12	guanine nucleotide binding protein, alpha 12	ENSMUSG00000000149
Slc22a18; BWR1A; BWSCR1A; Impt1; Orctl2; p45-BWR1A; Slc22a1l; TSSC5	solute carrier family 22 (organic cation transporter), member 18	ENSMUSG00000000154
Itgb2l; 5033406G21Rik; pactolus	integrin beta 2-like	ENSMUSG00000000157
Igsf5; 2010003D20Rik; Jam4	immunoglobulin superfamily, member 5	ENSMUSG00000000159
Pih1d2; 2700059L22Rik	PIH1 domain containing 2	ENSMUSG00000000167
Dlat; 6332404G05Rik; PDC-E2	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	ENSMUSG00000000168
Sdhd; 3110001M13Rik	succinate dehydrogenase complex, subunit D, integral membrane protein	ENSMUSG00000000171
Fgf23	fibroblast growth factor 23	ENSMUSG00000000182
Fgf6; Fgf-6	fibroblast growth factor 6	ENSMUSG00000000183
Ccnd2; 2600016F06Rik; cD2; Vin-1; Vin1	cyclin D2	ENSMUSG00000000184
Gpr107	G protein-coupled receptor 107	ENSMUSG00000000194
